Supplementary table 2.1: Associations between BMI germline PGS and TCGA UCEC tumour gene expression,,,,,
Gene,Beta,Standard error,Z-score,P-value,False discovery rate
LOC100189589,-0.0334,0.0604,-0.5527,5.81E-01,0.9719
COX7A2L,-0.0246,0.0445,-0.5527,5.81E-01,0.9719
CACNA1B,-0.0335,0.0606,-0.5523,5.81E-01,0.9719
PA2G4P4,-0.0368,0.0667,-0.5522,5.81E-01,0.9719
SUV39H1,-0.0293,0.0531,-0.5522,5.81E-01,0.9719
SPATS2,0.0265,0.048,0.5521,5.81E-01,0.9719
CEP170,0.0267,0.0483,0.552,5.81E-01,0.9719
RBM11,-0.0301,0.0546,-0.552,5.81E-01,0.9719
ZNF256,-0.0273,0.0494,-0.5518,5.81E-01,0.9719
MTHFR,0.0275,0.0499,0.5518,5.81E-01,0.9719
GRIN2C,-0.0365,0.0662,-0.5517,5.82E-01,0.9719
GAL,0.0338,0.0613,0.5517,5.82E-01,0.9719
TNFSF18,-0.0292,0.053,-0.5515,5.82E-01,0.9719
CLCN5,-0.028,0.0508,-0.551,5.82E-01,0.9719
HLA-DOB,0.0356,0.0647,0.551,5.82E-01,0.9719
RPS28,-0.0364,0.0661,-0.5509,5.82E-01,0.9719
HSPB7,0.0338,0.0613,0.5509,5.82E-01,0.9719
TSSC4,-0.0277,0.0503,-0.5509,5.82E-01,0.9719
CLK3,-0.0264,0.0479,-0.5507,5.82E-01,0.9719
CCDC69,0.0314,0.057,0.5507,5.82E-01,0.9719
OGN,0.0341,0.062,0.5507,5.82E-01,0.9719
IQSEC3,0.0324,0.0589,0.5507,5.82E-01,0.9719
NMNAT2,0.0338,0.0614,0.5507,5.82E-01,0.9719
TRPA1,-0.0361,0.0655,-0.5505,5.82E-01,0.9719
LOC100134229,0.0301,0.0547,0.5505,5.82E-01,0.9719
AP2A2,0.0289,0.0525,0.5503,5.82E-01,0.9719
FRMD5,0.0357,0.0649,0.5502,5.83E-01,0.9719
EP300,0.025,0.0454,0.5502,5.83E-01,0.9719
PAAF1,-0.0256,0.0466,-0.5502,5.83E-01,0.9719
MAN1A2,0.0245,0.0445,0.5501,5.83E-01,0.9719
ZBTB2,0.0229,0.0417,0.55,5.83E-01,0.9719
MMP16,-0.0316,0.0575,-0.55,5.83E-01,0.9719
SCAMP1,-0.0254,0.0462,-0.5499,5.83E-01,0.9719
GPX1,0.0318,0.0578,0.5499,5.83E-01,0.9719
LCAT,-0.0342,0.0622,-0.5498,5.83E-01,0.9719
GAS7,0.031,0.0563,0.5498,5.83E-01,0.9719
GPR111,-0.0322,0.0586,-0.5497,5.83E-01,0.9719
TCTN1,-0.0296,0.0538,-0.5497,5.83E-01,0.9719
KIAA1797,0.0245,0.0446,0.5496,5.83E-01,0.9719
SRPX,0.0319,0.0581,0.5496,5.83E-01,0.9719
YKT6,0.0247,0.045,0.5494,5.83E-01,0.9719
GJB6,0.0351,0.064,0.5493,5.83E-01,0.9719
ATP6V0A4,0.0374,0.0681,0.5493,5.83E-01,0.9719
B3GNT1,-0.027,0.0492,-0.5489,5.83E-01,0.9719
MRPS15,-0.0293,0.0534,-0.5488,5.84E-01,0.9719
NFATC1,-0.0338,0.0616,-0.5486,5.84E-01,0.9719
ZC3H7B,0.0247,0.045,0.5486,5.84E-01,0.9719
TTYH3,0.0293,0.0533,0.5486,5.84E-01,0.9719
QSER1,0.024,0.0438,0.5485,5.84E-01,0.9719
KCNJ13,-0.0318,0.0579,-0.5485,5.84E-01,0.9719
CRISPLD2,-0.0298,0.0544,-0.5482,5.84E-01,0.9719
ISLR,0.0323,0.0589,0.5482,5.84E-01,0.9719
TTC30A,0.0287,0.0523,0.5481,5.84E-01,0.9719
PCDH10,-0.0336,0.0613,-0.5481,5.84E-01,0.9719
HRASLS2,0.0355,0.0649,0.548,5.84E-01,0.9719
PPCS,-0.0247,0.0451,-0.5479,5.84E-01,0.9719
G0S2,0.0368,0.0671,0.5479,5.84E-01,0.9719
TRMT5,-0.0231,0.0421,-0.5479,5.84E-01,0.9719
YRDC,0.0238,0.0435,0.5478,5.84E-01,0.9719
C8orf73,-0.0349,0.0637,-0.5475,5.84E-01,0.9719
CNTNAP2,0.0358,0.0655,0.5474,5.84E-01,0.9719
ST8SIA6,0.033,0.0603,0.5473,5.85E-01,0.9719
C15orf17,-0.0229,0.0418,-0.5473,5.85E-01,0.9719
KLK2,0.0346,0.0632,0.5472,5.85E-01,0.9719
PTPRA,0.0221,0.0405,0.5472,5.85E-01,0.9719
PPIAL4E,-0.0373,0.0682,-0.5471,5.85E-01,0.9719
MYO19,-0.0273,0.0498,-0.5471,5.85E-01,0.9719
KDM4A,0.0232,0.0424,0.547,5.85E-01,0.9719
C3orf45,-0.033,0.0603,-0.547,5.85E-01,0.9719
CYP2U1,-0.027,0.0494,-0.5469,5.85E-01,0.9719
AREG,0.0341,0.0623,0.5468,5.85E-01,0.9719
C2orf60,-0.0227,0.0416,-0.5468,5.85E-01,0.9719
TATDN2,0.0228,0.0417,0.5468,5.85E-01,0.9719
OTUD4,0.0243,0.0444,0.5468,5.85E-01,0.9719
PTTG2,-0.0329,0.0601,-0.5468,5.85E-01,0.9719
FTHL3,0.0373,0.0683,0.5466,5.85E-01,0.9719
TBC1D1,0.0264,0.0484,0.5466,5.85E-01,0.9719
FAM22G,0.0377,0.069,0.5465,5.85E-01,0.9719
UPF0639,0.0342,0.0626,0.5465,5.85E-01,0.9719
CCDC36,0.0336,0.0614,0.5463,5.85E-01,0.9719
GTF2B,0.0214,0.0391,0.5462,5.85E-01,0.9719
CISD1,0.0253,0.0463,0.5462,5.85E-01,0.9719
PGLYRP4,0.0333,0.0611,0.5461,5.85E-01,0.9719
PAWR,-0.0243,0.0445,-0.5461,5.85E-01,0.9719
CTGF,0.0324,0.0593,0.5461,5.85E-01,0.9719
ZNF611,-0.0278,0.0509,-0.5461,5.85E-01,0.9719
HMGN4,0.023,0.0422,0.546,5.85E-01,0.9719
MYST2,0.0232,0.0425,0.546,5.85E-01,0.9719
RNF144A,0.028,0.0513,0.546,5.85E-01,0.9719
SERPINB2,-0.0336,0.0616,-0.5458,5.86E-01,0.9719
ANTXRL,0.0293,0.0537,0.5457,5.86E-01,0.9719
MIP,-0.0325,0.0595,-0.5457,5.86E-01,0.9719
FAM162A,-0.0317,0.0581,-0.5456,5.86E-01,0.9719
ATRX,-0.0248,0.0455,-0.5455,5.86E-01,0.9719
SP4,-0.0241,0.0443,-0.5455,5.86E-01,0.9719
DUOXA2,-0.0356,0.0653,-0.5454,5.86E-01,0.9719
DEFA5,-0.0305,0.0559,-0.5454,5.86E-01,0.9719
C22orf41,-0.0345,0.0632,-0.5453,5.86E-01,0.9719
TUBAL3,0.0335,0.0613,0.5453,5.86E-01,0.9719
CD9,0.0269,0.0493,0.5452,5.86E-01,0.9719
LGI1,0.0299,0.0549,0.5451,5.86E-01,0.9719
CHRNA3,-0.0348,0.0639,-0.5451,5.86E-01,0.9719
HOXA13,-0.0313,0.0574,-0.5449,5.86E-01,0.972
FOXK2,-0.0251,0.0461,-0.5448,5.86E-01,0.972
RSPH9,0.036,0.0661,0.5446,5.86E-01,0.972
FAM10A4,0.0346,0.0636,0.5445,5.87E-01,0.972
MORF4L2,0.0222,0.0407,0.5444,5.87E-01,0.972
STYK1,-0.0329,0.0604,-0.5444,5.87E-01,0.972
ICT1,-0.0254,0.0467,-0.5443,5.87E-01,0.972
GSTZ1,-0.0298,0.0547,-0.5442,5.87E-01,0.972
SMAD7,0.0266,0.0489,0.5438,5.87E-01,0.972
RAC1,0.0234,0.0431,0.5438,5.87E-01,0.972
GAGE2A,0.0274,0.0503,0.5438,5.87E-01,0.972
ADD2,0.0333,0.0612,0.5438,5.87E-01,0.972
ACSS2,-0.0293,0.0539,-0.5437,5.87E-01,0.972
F12,-0.0344,0.0634,-0.5436,5.87E-01,0.972
SLC9A2,-0.0342,0.063,-0.5436,5.87E-01,0.972
Sep-08,0.0241,0.0444,0.5436,5.87E-01,0.972
DHX37,0.0255,0.0469,0.5435,5.87E-01,0.972
EIF2B1,-0.0232,0.0427,-0.5435,5.87E-01,0.972
TUBB2C,0.0321,0.059,0.5435,5.87E-01,0.972
C1orf65,0.0288,0.0531,0.5434,5.87E-01,0.972
GRB14,-0.0346,0.0638,-0.543,5.87E-01,0.9722
C21orf63,-0.031,0.0571,-0.543,5.88E-01,0.9722
A1BG,0.0333,0.0614,0.5428,5.88E-01,0.9722
HNF1B,-0.0325,0.0599,-0.5427,5.88E-01,0.9722
ZNF180,-0.0226,0.0416,-0.5427,5.88E-01,0.9722
MSL3L2,0.0293,0.054,0.5427,5.88E-01,0.9722
COG2,-0.0245,0.0451,-0.5427,5.88E-01,0.9722
FAM7A3,-0.036,0.0664,-0.5426,5.88E-01,0.9722
FCRL6,-0.0331,0.0609,-0.5424,5.88E-01,0.9722
PMAIP1,0.0301,0.0555,0.5424,5.88E-01,0.9722
KLHL23,0.0276,0.0509,0.5423,5.88E-01,0.9722
CXorf30,-0.0346,0.0639,-0.5423,5.88E-01,0.9722
PHYHIP,0.0316,0.0582,0.5422,5.88E-01,0.9722
FAM81B,-0.034,0.0627,-0.5422,5.88E-01,0.9722
POP1,0.0257,0.0474,0.5419,5.88E-01,0.9723
GIMAP6,0.0273,0.0504,0.5418,5.88E-01,0.9723
C7orf49,0.0249,0.0459,0.5418,5.88E-01,0.9723
ZBED1,-0.0262,0.0484,-0.5418,5.88E-01,0.9723
LPPR2,-0.0317,0.0586,-0.5416,5.88E-01,0.9723
KIAA0240,-0.0238,0.044,-0.5416,5.88E-01,0.9723
ZNF883,-0.0318,0.0586,-0.5415,5.89E-01,0.9723
SH3BGRL,-0.0248,0.0458,-0.5414,5.89E-01,0.9724
RRN3P3,0.0321,0.0594,0.5412,5.89E-01,0.9724
CTNNA2,-0.0339,0.0626,-0.5411,5.89E-01,0.9724
HEXB,0.0261,0.0482,0.5409,5.89E-01,0.9724
PTPRG,0.0266,0.0492,0.5409,5.89E-01,0.9724
RBM9,0.0232,0.0429,0.5408,5.89E-01,0.9724
HDAC7,-0.0238,0.0441,-0.5408,5.89E-01,0.9724
LPPR4,0.0303,0.0561,0.5408,5.89E-01,0.9724
IL22RA2,0.0327,0.0604,0.5408,5.89E-01,0.9724
PPRC1,0.0268,0.0496,0.5405,5.89E-01,0.9724
C14orf102,0.0223,0.0412,0.5403,5.89E-01,0.9724
VNN1,-0.0369,0.0683,-0.54,5.90E-01,0.9724
PPAP2A,-0.0315,0.0584,-0.54,5.90E-01,0.9724
CRLF3,-0.0226,0.0419,-0.5399,5.90E-01,0.9724
KRTAP2-1,-0.0304,0.0563,-0.5399,5.90E-01,0.9724
DGKG,0.0304,0.0563,0.5397,5.90E-01,0.9724
CENPW,-0.0299,0.0555,-0.5397,5.90E-01,0.9724
CENPN,0.0262,0.0486,0.5396,5.90E-01,0.9724
PIP4K2A,-0.0295,0.0547,-0.5395,5.90E-01,0.9724
TEX11,0.0336,0.0622,0.5395,5.90E-01,0.9724
RAD21,0.0234,0.0434,0.5394,5.90E-01,0.9724
CMTM1,0.0261,0.0483,0.5393,5.90E-01,0.9724
FMN2,-0.033,0.0612,-0.5392,5.90E-01,0.9724
SP5,-0.0353,0.0655,-0.5392,5.90E-01,0.9724
TMEM69,0.023,0.0427,0.5391,5.90E-01,0.9724
ATP5A1,0.0243,0.0451,0.5391,5.90E-01,0.9724
ZFR2,0.0321,0.0596,0.539,5.90E-01,0.9724
ZBTB43,0.0223,0.0415,0.539,5.90E-01,0.9724
CHCHD4,0.0239,0.0444,0.5389,5.90E-01,0.9724
TMEM129,-0.026,0.0482,-0.5389,5.90E-01,0.9724
TADA2A,0.0228,0.0424,0.5389,5.90E-01,0.9724
SORCS3,-0.0286,0.0532,-0.5387,5.90E-01,0.9724
RINL,-0.028,0.052,-0.5386,5.91E-01,0.9724
TMEM105,-0.0304,0.0565,-0.5385,5.91E-01,0.9724
ARHGAP39,-0.0278,0.0516,-0.5385,5.91E-01,0.9724
SCRN1,0.0286,0.0532,0.5384,5.91E-01,0.9724
MAP7,0.0229,0.0425,0.5383,5.91E-01,0.9724
FAM104A,-0.0234,0.0435,-0.5382,5.91E-01,0.9724
BICC1,0.0311,0.0578,0.5382,5.91E-01,0.9724
C17orf61,0.0292,0.0543,0.5382,5.91E-01,0.9724
ZHX1,0.0245,0.0455,0.5381,5.91E-01,0.9724
MRPS6,0.0239,0.0444,0.5379,5.91E-01,0.9724
C20orf20,0.0249,0.0463,0.5379,5.91E-01,0.9724
C17orf89,-0.0287,0.0534,-0.5377,5.91E-01,0.9724
C4A,0.0343,0.0637,0.5377,5.91E-01,0.9724
C1orf163,0.0242,0.045,0.5376,5.91E-01,0.9724
GLE1,0.0228,0.0424,0.5376,5.91E-01,0.9724
SLC3A1,-0.0336,0.0625,-0.5375,5.91E-01,0.9724
GLT8D2,0.0291,0.0541,0.5375,5.91E-01,0.9724
ELL,0.0227,0.0423,0.5374,5.91E-01,0.9724
PRKCZ,-0.0257,0.0479,-0.5374,5.91E-01,0.9724
ESF1,0.0237,0.0441,0.5373,5.91E-01,0.9724
CLCNKA,-0.0317,0.0589,-0.5372,5.92E-01,0.9724
SLC46A2,-0.0358,0.0667,-0.5371,5.92E-01,0.9724
PIKFYVE,0.024,0.0446,0.5371,5.92E-01,0.9724
FAM35B2,-0.0379,0.0706,-0.5371,5.92E-01,0.9724
SIAH2,0.0278,0.0518,0.537,5.92E-01,0.9724
DOK7,-0.0348,0.0648,-0.537,5.92E-01,0.9724
ZNF322B,-0.0351,0.0655,-0.5368,5.92E-01,0.9724
PCDHB2,-0.0339,0.0631,-0.5368,5.92E-01,0.9724
NWD1,-0.0337,0.0628,-0.5367,5.92E-01,0.9724
C9orf152,0.0327,0.0609,0.5366,5.92E-01,0.9724
KEAP1,-0.0256,0.0477,-0.5366,5.92E-01,0.9724
GP5,-0.0292,0.0544,-0.5363,5.92E-01,0.9724
CABLES2,0.0285,0.0531,0.5362,5.92E-01,0.9724
CCDC11,-0.0323,0.0603,-0.5362,5.92E-01,0.9724
PROKR2,-0.025,0.0466,-0.5361,5.92E-01,0.9724
DHX34,-0.0263,0.049,-0.5361,5.92E-01,0.9724
PEG3,0.0299,0.0558,0.5361,5.92E-01,0.9724
RFX5,0.0225,0.0421,0.5358,5.92E-01,0.9724
RPUSD2,-0.026,0.0486,-0.5358,5.92E-01,0.9724
ZNF426,0.0261,0.0488,0.5358,5.92E-01,0.9724
ASTL,-0.0322,0.06,-0.5357,5.93E-01,0.9724
RPS27L,0.028,0.0523,0.5357,5.93E-01,0.9724
CACNB1,0.0323,0.0602,0.5356,5.93E-01,0.9724
SNORA6,-0.0378,0.0706,-0.5356,5.93E-01,0.9724
KIAA0556,0.0258,0.0482,0.5355,5.93E-01,0.9724
ALOX12B,0.0329,0.0614,0.5353,5.93E-01,0.9724
TIAL1,-0.023,0.0429,-0.5352,5.93E-01,0.9724
ZNF473,0.0228,0.0426,0.5352,5.93E-01,0.9724
C9orf110,-0.0315,0.0589,-0.535,5.93E-01,0.9724
GJC2,-0.0323,0.0603,-0.5349,5.93E-01,0.9724
LOC154761,0.0381,0.0711,0.5349,5.93E-01,0.9724
KCMF1,0.0238,0.0445,0.5349,5.93E-01,0.9724
IDO1,0.0318,0.0595,0.5347,5.93E-01,0.9724
NAA10,-0.0305,0.057,-0.5347,5.93E-01,0.9724
HIBADH,0.0258,0.0483,0.5346,5.93E-01,0.9724
PCDHGA5,0.0322,0.0602,0.5346,5.93E-01,0.9724
FMO1,0.0327,0.0611,0.5346,5.93E-01,0.9724
GDF5,-0.0352,0.066,-0.5344,5.93E-01,0.9724
OBP2B,-0.0357,0.0669,-0.5344,5.93E-01,0.9724
PARP3,-0.0302,0.0564,-0.5344,5.93E-01,0.9724
NUP62,0.0232,0.0434,0.5344,5.93E-01,0.9724
SNAPC2,0.0246,0.0461,0.5341,5.94E-01,0.9726
PCDHA12,0.0333,0.0624,0.534,5.94E-01,0.9726
RGR,-0.0327,0.0612,-0.5338,5.94E-01,0.9726
KIF13B,0.0287,0.0538,0.5338,5.94E-01,0.9726
LMNB1,-0.0253,0.0474,-0.5337,5.94E-01,0.9726
RASGEF1C,-0.0336,0.0629,-0.5337,5.94E-01,0.9726
GCFC1,-0.0249,0.0467,-0.5335,5.94E-01,0.9726
NUMB,0.0227,0.0425,0.5332,5.94E-01,0.9726
HEPH,-0.0312,0.0584,-0.5331,5.94E-01,0.9726
RSL1D1,0.0236,0.0443,0.5331,5.94E-01,0.9726
MECR,-0.0256,0.048,-0.533,5.94E-01,0.9726
GPSM1,0.0296,0.0556,0.5328,5.95E-01,0.9726
ARFIP2,0.0273,0.0513,0.5327,5.95E-01,0.9726
CYP24A1,0.0352,0.0661,0.5327,5.95E-01,0.9726
LOC100287718,0.0327,0.0614,0.5325,5.95E-01,0.9726
SLC28A1,-0.0365,0.0686,-0.5324,5.95E-01,0.9726
GORAB,-0.0264,0.0496,-0.5324,5.95E-01,0.9726
FST,-0.0343,0.0644,-0.5324,5.95E-01,0.9726
E4F1,-0.0304,0.0571,-0.5323,5.95E-01,0.9726
LYPLA1,0.0249,0.0467,0.5322,5.95E-01,0.9726
C11orf54,0.0239,0.0449,0.5322,5.95E-01,0.9726
JOSD1,0.0225,0.0423,0.5322,5.95E-01,0.9726
C7orf58,0.0309,0.0581,0.5319,5.95E-01,0.9726
MYO16,0.0326,0.0614,0.5318,5.95E-01,0.9726
SLC44A4,-0.0335,0.063,-0.5318,5.95E-01,0.9726
MYOM1,-0.0315,0.0592,-0.5318,5.95E-01,0.9726
JUB,-0.0255,0.048,-0.5317,5.95E-01,0.9726
FBXW5,0.0294,0.0553,0.5316,5.95E-01,0.9726
SRRM4,0.0314,0.0591,0.5316,5.95E-01,0.9726
ZNF702P,0.0285,0.0536,0.5315,5.95E-01,0.9726
PPIAL4D,-0.0376,0.0708,-0.5314,5.95E-01,0.9726
SCARF2,-0.0313,0.0589,-0.5314,5.95E-01,0.9726
P2RY14,0.0312,0.0587,0.5314,5.96E-01,0.9726
KERA,0.0297,0.0559,0.5313,5.96E-01,0.9726
GZMA,0.0318,0.0598,0.5313,5.96E-01,0.9726
TMC6,-0.0303,0.057,-0.5312,5.96E-01,0.9726
TUBB2B,-0.0375,0.0705,-0.5312,5.96E-01,0.9726
FAM83C,-0.032,0.0601,-0.5312,5.96E-01,0.9726
CBX6,0.0298,0.0562,0.5312,5.96E-01,0.9726
C18orf32,-0.0244,0.0459,-0.5312,5.96E-01,0.9726
EPS8L2,-0.0278,0.0523,-0.5311,5.96E-01,0.9726
ZC3H15,0.0216,0.0406,0.5311,5.96E-01,0.9726
AQP12B,-0.0332,0.0625,-0.5307,5.96E-01,0.9727
RARA,0.027,0.0509,0.5305,5.96E-01,0.9727
FGD3,-0.0315,0.0595,-0.5305,5.96E-01,0.9727
ADH4,-0.0334,0.0629,-0.5304,5.96E-01,0.9727
VCAN,0.0302,0.057,0.5302,5.96E-01,0.9727
PRUNE2,-0.0317,0.0599,-0.5301,5.96E-01,0.9727
MALL,0.0323,0.0609,0.5301,5.96E-01,0.9727
RPS6KA3,0.0247,0.0466,0.5301,5.96E-01,0.9727
BSN,0.0299,0.0565,0.53,5.96E-01,0.9727
TBCA,-0.0242,0.0457,-0.53,5.96E-01,0.9727
WDR38,0.0345,0.0651,0.5297,5.97E-01,0.9727
NPY,-0.0279,0.0527,-0.5295,5.97E-01,0.9727
TAS2R31,-0.0303,0.0571,-0.5295,5.97E-01,0.9727
KCNQ1DN,0.0283,0.0534,0.5295,5.97E-01,0.9727
BAK1,0.025,0.0473,0.5294,5.97E-01,0.9727
XPOT,0.0236,0.0446,0.5294,5.97E-01,0.9727
FAM58B,-0.0349,0.0659,-0.5294,5.97E-01,0.9727
CAP2,0.0259,0.0489,0.5293,5.97E-01,0.9727
LHX8,-0.0251,0.0475,-0.5293,5.97E-01,0.9727
CDON,-0.0272,0.0514,-0.5293,5.97E-01,0.9727
AMN1,-0.0302,0.0571,-0.5293,5.97E-01,0.9727
C3orf1,-0.0218,0.0412,-0.5292,5.97E-01,0.9727
MRPL21,-0.0285,0.0539,-0.5291,5.97E-01,0.9727
GSTT2,-0.0323,0.0611,-0.5291,5.97E-01,0.9727
E2F6,-0.0238,0.0449,-0.529,5.97E-01,0.9727
GOLPH3L,-0.0243,0.046,-0.5288,5.97E-01,0.9727
IFT81,-0.0227,0.043,-0.5287,5.97E-01,0.9727
PDZD7,0.0312,0.0591,0.5287,5.97E-01,0.9727
VTI1A,-0.0227,0.043,-0.5285,5.98E-01,0.9727
PLK1,0.0285,0.0539,0.5285,5.98E-01,0.9727
LRRC4,0.0328,0.0621,0.5284,5.98E-01,0.9727
CRY1,0.0221,0.0419,0.5284,5.98E-01,0.9727
SEC11C,0.0271,0.0513,0.5283,5.98E-01,0.9727
NXF1,-0.0236,0.0448,-0.5283,5.98E-01,0.9727
RTCD1,0.0212,0.0402,0.5282,5.98E-01,0.9727
GJC1,-0.0282,0.0534,-0.5281,5.98E-01,0.9727
CLEC2D,-0.0349,0.0661,-0.528,5.98E-01,0.9727
FAM83D,0.0269,0.051,0.5279,5.98E-01,0.9727
GATA3,0.0321,0.0609,0.5279,5.98E-01,0.9727
USP18,0.0265,0.0502,0.5278,5.98E-01,0.9727
FAM122C,-0.0364,0.069,-0.5277,5.98E-01,0.9727
CSDC2,-0.0315,0.0597,-0.5276,5.98E-01,0.9727
MINA,0.0241,0.0457,0.5276,5.98E-01,0.9727
CSTF2T,0.0229,0.0435,0.5276,5.98E-01,0.9727
EI24,-0.0217,0.0411,-0.5274,5.98E-01,0.9729
SPIRE2,0.0309,0.0587,0.5273,5.98E-01,0.9729
CD46,0.0244,0.0463,0.527,5.99E-01,0.9729
SYPL2,-0.0302,0.0573,-0.5269,5.99E-01,0.9729
PNPLA1,0.0313,0.0594,0.5266,5.99E-01,0.9729
UTP6,0.0215,0.0409,0.5266,5.99E-01,0.9729
EBAG9,0.0246,0.0468,0.5265,5.99E-01,0.9729
LDB3,0.0317,0.0602,0.5264,5.99E-01,0.9729
DSCR9,0.0314,0.0597,0.5263,5.99E-01,0.9729
CC2D1B,-0.0239,0.0454,-0.5263,5.99E-01,0.9729
CHCHD5,0.0318,0.0603,0.5263,5.99E-01,0.9729
NIPSNAP3A,-0.0233,0.0442,-0.5263,5.99E-01,0.9729
SNTB1,-0.0301,0.0571,-0.5263,5.99E-01,0.9729
FAM195A,-0.0328,0.0624,-0.5261,5.99E-01,0.9729
AGAP2,0.029,0.0551,0.526,5.99E-01,0.9729
RHEB,-0.0244,0.0464,-0.5259,5.99E-01,0.9729
MYCNOS,0.0326,0.062,0.5259,5.99E-01,0.9729
ADCY3,0.0285,0.0542,0.5258,5.99E-01,0.9729
KCTD18,0.0224,0.0426,0.5257,5.99E-01,0.9729
DLX6AS,-0.0314,0.0597,-0.5257,5.99E-01,0.9729
ZNF135,-0.0277,0.0527,-0.5257,5.99E-01,0.9729
CTNNBIP1,-0.0271,0.0515,-0.5256,5.99E-01,0.9729
GAS1,0.031,0.059,0.5256,6.00E-01,0.9729
PPPDE1,-0.0229,0.0436,-0.5256,6.00E-01,0.9729
MRPL4,0.0256,0.0487,0.5254,6.00E-01,0.973
C3orf31,-0.0224,0.0426,-0.5254,6.00E-01,0.973
FUNDC1,-0.0218,0.0416,-0.5253,6.00E-01,0.973
FRMD3,0.0309,0.0588,0.5252,6.00E-01,0.973
KRT18,-0.0317,0.0604,-0.525,6.00E-01,0.9731
INTS10,0.0249,0.0475,0.5249,6.00E-01,0.9732
OSBPL1A,-0.0239,0.0456,-0.5248,6.00E-01,0.9732
CRTAP,0.0251,0.0478,0.5247,6.00E-01,0.9732
CCDC65,0.0344,0.0656,0.5245,6.00E-01,0.9732
CNTNAP3,0.0331,0.0631,0.5245,6.00E-01,0.9732
RHCE,-0.0315,0.0601,-0.5245,6.00E-01,0.9732
ZCRB1,-0.023,0.0438,-0.5244,6.00E-01,0.9732
TRH,0.0304,0.058,0.5241,6.01E-01,0.9733
PCDH17,0.0277,0.0529,0.5241,6.01E-01,0.9733
UMODL1,0.0327,0.0624,0.5241,6.01E-01,0.9733
CBWD3,-0.0363,0.0693,-0.524,6.01E-01,0.9733
C11orf67,-0.0277,0.0529,-0.5238,6.01E-01,0.9734
TBC1D13,0.0254,0.0485,0.5237,6.01E-01,0.9734
C14orf106,-0.0237,0.0453,-0.5236,6.01E-01,0.9734
TCEAL7,-0.0289,0.0552,-0.5236,6.01E-01,0.9734
PDZK1IP1,0.0345,0.0659,0.5235,6.01E-01,0.9734
RELL1,-0.0279,0.0533,-0.5233,6.01E-01,0.9736
LRPPRC,0.0233,0.0445,0.5232,6.01E-01,0.9737
NSUN3,-0.0211,0.0404,-0.5229,6.01E-01,0.9738
ZNF773,-0.0259,0.0496,-0.5226,6.02E-01,0.9738
PCIF1,-0.0233,0.0446,-0.5226,6.02E-01,0.9738
WDR16,-0.0336,0.0643,-0.5225,6.02E-01,0.9738
PPFIA3,0.0299,0.0572,0.5225,6.02E-01,0.9738
KLF14,-0.0294,0.0564,-0.5223,6.02E-01,0.9738
GBGT1,-0.0304,0.0582,-0.5223,6.02E-01,0.9738
DHRS4L2,-0.0309,0.0591,-0.5222,6.02E-01,0.9738
RXRG,-0.0322,0.0616,-0.5222,6.02E-01,0.9738
ASNA1,0.0239,0.0459,0.5221,6.02E-01,0.9738
DAO,-0.0299,0.0573,-0.5219,6.02E-01,0.9738
C6orf227,-0.0322,0.0616,-0.5219,6.02E-01,0.9738
SCLT1,-0.0231,0.0443,-0.5219,6.02E-01,0.9738
UBXN6,-0.0242,0.0464,-0.5217,6.02E-01,0.9738
UBL4A,-0.0248,0.0475,-0.5217,6.02E-01,0.9738
AKR1B1,0.0292,0.056,0.5216,6.02E-01,0.9738
ZRANB1,-0.0213,0.0408,-0.5216,6.02E-01,0.9738
RNASE1,0.0324,0.0622,0.5214,6.02E-01,0.9738
MAT2B,0.021,0.0402,0.5213,6.02E-01,0.9738
ATR,-0.022,0.0423,-0.5213,6.03E-01,0.9738
SCML1,-0.032,0.0615,-0.5212,6.03E-01,0.9738
CANX,0.0223,0.0427,0.5212,6.03E-01,0.9738
EIF4B,0.0233,0.0447,0.5212,6.03E-01,0.9738
RC3H1,0.0226,0.0433,0.5208,6.03E-01,0.9738
MAMDC2,0.0297,0.0571,0.5208,6.03E-01,0.9738
C16orf45,0.0294,0.0564,0.5205,6.03E-01,0.9738
DEGS1,0.0264,0.0506,0.5205,6.03E-01,0.9738
STMN4,0.0285,0.0548,0.5204,6.03E-01,0.9738
TBCC,-0.0231,0.0444,-0.5203,6.03E-01,0.9738
FAM162B,-0.03,0.0576,-0.5202,6.03E-01,0.9738
ZFP36L1,0.0256,0.0491,0.5201,6.03E-01,0.9738
SMOC2,0.0303,0.0582,0.5201,6.03E-01,0.9738
CTCFL,-0.0318,0.0611,-0.5201,6.03E-01,0.9738
FAM19A1,-0.0279,0.0536,-0.5201,6.03E-01,0.9738
PCDHA7,0.0329,0.0632,0.5201,6.03E-01,0.9738
RTP3,-0.0254,0.0489,-0.5201,6.03E-01,0.9738
PTGFRN,0.0231,0.0444,0.52,6.03E-01,0.9738
TMEM87A,0.0223,0.0428,0.52,6.03E-01,0.9738
ZNHIT1,-0.0283,0.0544,-0.5199,6.04E-01,0.9738
C18orf45,0.0257,0.0494,0.5197,6.04E-01,0.9738
SLC7A10,-0.0288,0.0554,-0.5197,6.04E-01,0.9738
IGF2BP1,0.0315,0.0606,0.5197,6.04E-01,0.9738
ZC3H11A,-0.0228,0.0439,-0.5195,6.04E-01,0.9738
ZNF703,0.0338,0.0651,0.5194,6.04E-01,0.9738
